index,id_local,desc_barrio_local,clase_vial_edificio,desc_vial_edificio,num_edificio,rotulo,desc_epigrafe
1,10000327,PALACIO,PLAZA,SANTO DOMINGO,12,BAR EL ENCUENTRO,BAR RESTAURANTE
6,10000442,EMBAJADORES,CALLE,TRIBULETE,4,RESTAURANTE LA ALHAMBRA,RESTAURANTE
10,10000845,PALACIO,CALLE,GRAN VIA,65,VIPS,BAR RESTAURANTE
16,10000982,PALACIO,PLAZA,PUERTA DE MOROS,4,BAR JUANA LA LOCA,CAFETERIA
17,10001020,PALACIO,CALLE,BAILEN,15,HAAGEN-DAZS ILLY,CAFETERIA
24,20000164,PALOS DE MOGUER,CALLE,GENERAL LACY,28,BAR ANCORA,BAR CON COCINA
26,20000260,ACACIAS,CALLE,ARGANDA,25,PISCINA MUNICIPAL PEÑUELAS,PISCINAS DE USO PUBLICO DE TEMPORADA
27,10000468,UNIVERSIDAD,CALLE,SAN BERNARDO,79,RESIDENCIA MONTSERRAT,SERVICIOS DE COMEDOR EN CENTROS PARA MAYORES
28,10000478,CORTES,PASEO,PRADO,48,HOTEL NH NACIONAL,HOTELES Y MOTELES CON RESTAURANTE
29,10000502,CORTES,PASEO,PRADO,26,BURGUER KING,RESTAURANTES DE COMIDA RAPIDA
31,10000710,EMBAJADORES,CALLE,SAN MILLAN,3,RESTAURANTE LA BOBIA CERVEZAS Y SIDRAS,BAR RESTAURANTE
33,10000838,PALACIO,CALLE,CAÑOS DEL PERAL,6,LAS CUBAS,BAR ESPECIAL SIN ACTUACIONES
35,10000876,SOL,CALLE,ARENAL,15,TAPA TAPA,BAR RESTAURANTE
36,20000287,CHOPERA,PASEO,SANTA MARIA DE LA CABEZA,85,COLEGIO SAN JAVIER,SERVICIOS DE COMEDOR EN CENTROS EDUCATIVOS Y CENTROS DE CUIDADO INFANTIL
38,20000302,ACACIAS,CALLE,SAN ANASTASIO,4,COLEGIO DOS PARQUES,SERVICIOS DE COMEDOR EN CENTROS EDUCATIVOS Y CENTROS DE CUIDADO INFANTIL
40,20000304,PALOS DE MOGUER,CALLE,MARQUES DE LA VALDAVIA,2,COMEDOR COLEGIO SALESIANOS ATOCHA,SERVICIOS DE COMEDOR EN CENTROS EDUCATIVOS Y CENTROS DE CUIDADO INFANTIL
41,20000320,ACACIAS,PASEO,ESPERANZA,21,BURGER KING,RESTAURANTES DE COMIDA RAPIDA
42,20000325,ACACIAS,CALLE,LAUREL,33,CENTRO INFANTIL GARABATOS Y OCHO PATOS,SERVICIOS DE COMEDOR EN CENTROS EDUCATIVOS Y CENTROS DE CUIDADO INFANTIL
46,10000052,JUSTICIA,TRAVESIA,SAN MATEO,17,MUNE,BAR RESTAURANTE
47,10000071,SOL,CALLE,BARCELONA,12,LA DESCUBIERTA,CAFETERIA
49,10000284,CORTES,CALLE,LOPE DE VEGA,9,RESTAURANTE DAR MONA,RESTAURANTE
52,10000310,EMBAJADORES,CALLE,OLMO,4,CEIP ANTONIO MORENO ROSALES,SERVICIOS DE COMEDOR EN CENTROS EDUCATIVOS Y CENTROS DE CUIDADO INFANTIL
53,10000319,PALACIO,CALLE,BAILEN,20,RESTAURANTE LA VACA ARGENTINA,RESTAURANTE
54,10000003,JUSTICIA,CALLE,BARCELO,5,VITACA,BAR RESTAURANTE
59,10000308,EMBAJADORES,CALLE,VENTORRILLO,14,CEIP EMILIA PARDO BAZAN,SERVICIOS DE COMEDOR EN CENTROS EDUCATIVOS Y CENTROS DE CUIDADO INFANTIL
60,10000391,SOL,CALLE,SANTO TOMAS,1,HOTEL,HOTELES Y MOTELES CON RESTAURANTE
61,10000398,JUSTICIA,CALLE,BARCELO,2,CEIP ISABEL LA CATOLICA,SERVICIOS DE COMEDOR EN CENTROS EDUCATIVOS Y CENTROS DE CUIDADO INFANTIL
62,10000401,PALACIO,PLAZA,ISABEL II,8,CAÑAS Y TAPAS,CAFETERIA
63,20000359,PALOS DE MOGUER,CALLE,EMBAJADORES,63,LOS CHIQUITOS BAR DE TAPAS,BAR CON COCINA
66,20000447,PALOS DE MOGUER,CALLE,GENERAL LACY,14,BODEGAS ROSELL,BAR RESTAURANTE
67,20000460,PALOS DE MOGUER,PASEO,DELICIAS,7,CERVECERIA DOMINGUEZ,BAR CON COCINA
69,20000462,ACACIAS,CALLE,ARGANDA,2,EUROBAR COPPOLA,BAR CON COCINA
70,20000464,PALOS DE MOGUER,PASEO,DELICIAS,59,CERVECERIA LA CUCAÑA,BAR SIN COCINA
71,20000475,PALOS DE MOGUER,CALLE,DELICIAS,24,RESTAURANTE PARRILLA LA MANZANA,BAR RESTAURANTE
72,20000867,PALOS DE MOGUER,CALLE,SEBASTIAN HERRERA,9,EL ENCUENTRO BAR CAFETERIA,BAR RESTAURANTE
74,20000920,PALOS DE MOGUER,CALLE,GENERAL LACY,6,PULPERIA O'RIBEIRIÑO,BAR RESTAURANTE
75,20000948,ACACIAS,PASEO,ESPERANZA,57,TABERNA EL FORO,BAR SIN COCINA
78,20000965,ATOCHA,CALLE,MENDEZ ALVARO,83,AUTOSERVICIO CAFETERÍA,BAR RESTAURANTE
81,10000325,PALACIO,CALLE,VERGARA,1,NEMRUT KEBAB PIZZA,RESTAURANTE
82,10000358,UNIVERSIDAD,CALLE,ALAMO,8,SIETE,BAR CON COCINA
83,10000385,CORTES,CALLE,HUERTAS,54,DC RESTAURANTE,RESTAURANTE
84,10000387,SOL,PLAZA,PUERTA DEL SOL,14,PANS & COMPANY,RESTAURANTES DE COMIDA RAPIDA
85,10000415,PALACIO,CALLE,HUMILLADERO,5,LA PARRALA,CAFETERIA
88,10000481,PALACIO,AVENIDA,GRAN VIA DE SAN FRANCISCO,7,BAREA Y TAPEA,CAFETERIA
89,10000503,SOL,CALLE,ARENAL,9,PAUL,BAR CON COCINA
90,10000511,PALACIO,CALLE,CARLOS III,3,BAJO CERO,CAFETERIA
91,10000003,JUSTICIA,CALLE,BARCELO,5,VITACA,CAFETERIA
92,10000004,UNIVERSIDAD,CALLE,ACUERDO,31,CAMDEN COFFEE ROASTERS,CAFETERIA
93,10000097,JUSTICIA,CALLE,AUGUSTO FIGUEROA,37,"GRACIAS, PADRE",RESTAURANTE
94,10000102,SOL,CALLE,ARENAL,1,LA MALLORQUINA,CAFETERIA
95,10000105,JUSTICIA,CALLE,BELEN,13,LA MORDIDA,RESTAURANTE
96,10000150,SOL,PLAZA,MAYOR,1,CAFE LOS ARCOS BAR,BAR CON COCINA
101,10000071,SOL,CALLE,BARCELONA,12,LA DESCUBIERTA,RESTAURANTE
102,10000093,JUSTICIA,CALLE,BARQUILLO,7,LA REVOLTOSA,CAFETERIA
106,10000264,SOL,CALLE,MESONERO ROMANOS,4,VALDEMESO,BAR RESTAURANTE
107,10000306,CORTES,PASEO,PRADO,38,CEIP PALACIO VALDES,SERVICIOS DE COMEDOR EN CENTROS EDUCATIVOS Y CENTROS DE CUIDADO INFANTIL
108,10000307,EMBAJADORES,CALLE,CASINO,7,CEIP SANTA MARIA,SERVICIOS DE COMEDOR EN CENTROS EDUCATIVOS Y CENTROS DE CUIDADO INFANTIL
109,10000413,CORTES,CALLE,ESPOZ Y MINA,28,AFTER 8,BAR ESPECIAL SIN ACTUACIONES
110,10000422,PALACIO,CALLE,YESEROS,3,C.E.I.P. VAZQUEZ DE MELLA,SERVICIOS DE COMEDOR EN CENTROS EDUCATIVOS Y CENTROS DE CUIDADO INFANTIL
113,10000476,EMBAJADORES,CALLE,TOLEDO,85,BAR MARISQUERIA LA PALOMA,BAR CON COCINA
114,10000502,CORTES,PASEO,PRADO,26,BURGUER KING,CAFETERIA
115,10000503,SOL,CALLE,ARENAL,9,PAUL,CAFETERIA
116,10000517,PALACIO,PLAZA,CEBADA,9,TABERNA LA EXTREMEÑA. PRODUCTOS DE MI TIERRA,BAR CON COCINA
119,10000695,UNIVERSIDAD,CALLE,SAN BERNARDO,63,BAR -RESTAURANTE,BAR RESTAURANTE
120,10000744,EMBAJADORES,CALLE,ESPADA,9,CENTRO DE DIA E INFANTIL ROSALIA RENDU,SERVICIOS DE COMEDOR EN CENTROS EDUCATIVOS Y CENTROS DE CUIDADO INFANTIL
125,10000804,SOL,CALLE,CUCHILLEROS,7,LA TABERNA DE MISTER PINKLETON,BAR CON COCINA
126,10000807,CORTES,CALLE,ATOCHA,115,PUCKET THAI,RESTAURANTE
127,10000534,CORTES,CALLE,ATOCHA,125,DISCOTECA INDEPENDENCE,RESTAURANTE
129,10000412,CORTES,CALLE,MORATIN,38,LA VACA VERONICA,BAR RESTAURANTE
132,10000455,SOL,CALLE,CIUDAD RODRIGO,5,CASA RUA,BAR CON COCINA
133,10000463,SOL,CALLE,CARMEN,27,VIANDAS DE SALAMANCA,BAR SIN COCINA
135,10000473,JUSTICIA,CALLE,SAN LUCAS,21,SIBUYA,BAR RESTAURANTE
136,20000486,PALOS DE MOGUER,PLAZA,LUCA DE TENA,10,BAR CERVECERIA TAPALOCA,BAR CON COCINA
137,20000513,ACACIAS,CALLE,ARGANDA,44,RESTAURANTE CANGAS,BAR RESTAURANTE
140,20000552,IMPERIAL,RONDA,SEGOVIA,2,SHUSICOME,RESTAURANTE
142,20000602,PALOS DE MOGUER,CALLE,DELICIAS,24,LA ANTIGUA,BAR RESTAURANTE
143,20000605,IMPERIAL,GLORIETA,PIRAMIDES,6,CAFETERIA PIRAMIDES,BAR CON COCINA
145,10000530,SOL,CARRERA,SAN JERONIMO,5,LA TAURINA,BAR RESTAURANTE
147,10001040,PALACIO,CUESTA,SANTO DOMINGO,14,XIAO MAN RESTAURANTE,RESTAURANTE
150,10001107,PALACIO,CALLE,BAILEN,33,BAR LA ESPERANZA,BAR SIN COCINA
155,20000704,IMPERIAL,CALLE,JUAN DUQUE,10,BAR-RESTAURANTE EL DUCADO,BAR RESTAURANTE
156,20000708,ACACIAS,PASEO,YESERIAS,15,TABERNA FANTASTICA,BAR RESTAURANTE
157,20000715,CHOPERA,PASEO,SANTA MARIA DE LA CABEZA,67,CAFÉ-BAR,BAR CON COCINA
158,20000721,IMPERIAL,PASEO,JUAN ANTONIO VALLEJO-NAJERA BOTAS,54,ARROCERIA IMPERIAL,BAR RESTAURANTE
159,20000726,DELICIAS,PASEO,DELICIAS,92,JAMBOTECA DELICIAS,BAR CON COCINA
160,20000731,PALOS DE MOGUER,CALLE,PALOS DE LA FRONTERA,40,CENTRO DOTACIONAL INTEGRADO ARGANZUELA,ACTIVIDADES DE LOS GIMNASIOS
164,10000684,PALACIO,CALLE,TABERNILLAS,4,ESCUELA INFANTIL LA PALOMA,SERVICIOS DE COMEDOR EN CENTROS EDUCATIVOS Y CENTROS DE CUIDADO INFANTIL
166,10000700,CORTES,CARRERA,SAN JERONIMO,32,RESTAURANTE (PESCAITO FRITO),RESTAURANTE
169,10000835,PALACIO,CALLE,ALMENDRO,22,VINOS EL MENTIDERO,BAR SIN COCINA
172,20000757,PALOS DE MOGUER,CALLE,SEBASTIAN HERRERA,6,EL VALLE RESTAURANTE-CAFETERIA,CAFETERIA
174,20000776,CHOPERA,CALLE,JAIME EL CONQUISTADOR,48,RESTAURANTE CHINO GRAN SIGLO,RESTAURANTE
177,20000793,PALOS DE MOGUER,CALLE,ANCORA,42,RESIDENCIA NTRA SRA DEL PERPETUO SOCORRO,SERVICIOS DE COMEDOR EN CENTROS PARA MAYORES
182,10000708,SOL,CALLE,CRUZ,10,CITY KEBAB,BAR CON COCINA
184,10000868,UNIVERSIDAD,CALLE,ANTONIO GRILO,3,BOTA DE ORO,RESTAURANTE
185,10000895,SOL,CALLE,CABALLERO DE GRACIA,10,LA GLORIA DE MONTERA,RESTAURANTE
187,10000915,JUSTICIA,CALLE,SANTA TERESA,12,FREAKS BURGUER,RESTAURANTE
188,10000959,JUSTICIA,CALLE,HORTALEZA,21,TAKO MAMA,BAR RESTAURANTE
192,10000960,SOL,CALLE,CABALLERO DE GRACIA,12,DULCINEA CAFETERIA,BAR CON COCINA
194,10000966,EMBAJADORES,CALLE,EMBAJADORES,49,"YOGA, PILATES Y MANTENIMIENTO PERSONAL",ACTIVIDADES DE CLUBES DEPORTIVOS Y OTRAS ACTIVIDADES DEPORTIVAS
199,10001147,CORTES,CALLE,PRINCIPE,25,TEATRO ESPAÑOL,TEATRO Y ACTIVIDADES ESCENICAS REALIZADAS EN DIRECTO
200,10001164,SOL,CALLE,IMPERIAL,1,TROPICANA BEACH CLUB,BAR CON COCINA
201,10001216,CORTES,CALLE,HUERTAS,66,TABERNA MACEIRAS,RESTAURANTE
202,10001234,UNIVERSIDAD,CALLE,DESENGAÑO,10,CENTRO DE ATENCIÓN ENFERMOS ALZHEIMER,SERVICIOS DE COMEDOR EN CENTROS PARA MAYORES
209,10001370,UNIVERSIDAD,CALLE,ESPIRITU SANTO,47,J & J BOOKS AND COFEE,CAFETERIA
213,10001210,SOL,TRAVESIA,TRUJILLOS,2,CASA PARRONDO,RESTAURANTE
214,10001237,JUSTICIA,CALLE,HORTALEZA,23,EL TIGRE DEL NORTE,BAR RESTAURANTE
