index,stop_code,stop_name,stop_desc,stop_lat,stop_lon
0,1,PLAZA DE CASTILLA,Paseo de la Castellana 189,40.4669,-3.68917
9,10,TRIBUNAL,Calle de Fuencarral 81,40.42619,-3.7011
13,11,GRAN VIA,Calle   Gran Vía 23,40.42001,-3.7018
18,12,SOL,Plaza de la Puerta del Sol 6,40.41688,-3.70326
26,13,TIRSO DE MOLINA,Plaza de Tirso de Molina 7,40.41235,-3.70466
29,14,ANTON MARTIN,Calle de Atocha 50,40.41246,-3.69937
34,15,ESTACION DEL ARTE,Plaza del Emperador Carlos V 11,40.40885,-3.69249
37,16,ATOCHA RENFE,Avda de la Ciudad de Barcelona 2 B,40.40659,-3.68938
41,17,MENENDEZ PELAYO,Avda de la Ciudad de Barcelona 23,40.40445,-3.68098
45,18,PACIFICO,Avda de la Ciudad de Barcelona 79,40.40126,-3.67514
50,19,PUENTE DE VALLECAS,Avda de la Albufera 1,40.39819,-3.66906
54,2,VALDEACEDERAS,Calle de Bravo Murillo 332,40.46442,-3.69506
57,20,NUEVA NUMANCIA,Avda de la Albufera 70,40.39554,-3.66414
62,21,PORTAZGO,Avda de la Albufera 131,40.39266,-3.65868
69,22,BUENOS AIRES,Avda de la Albufera 179,40.39156,-3.65391
72,23,ALTO DEL ARENAL,Calle de Santillana del Mar 21,40.38977,-3.64522
76,24,MIGUEL HERNANDEZ,Calle de León Felipe 4 A,40.38732,-3.63951
81,25,SIERRA DE GUADALUPE,Avda de la Democracia 1,40.38216,-3.62472
87,26,VILLA DE VALLECAS,Paseo de Federico García Lorca 2,40.3796,-3.6213
91,261,CHAMARTIN,Calle de Agustín de Foxá 40,40.47203,-3.68259
94,262,BAMBU,Calle del Bambú 14,40.47682,-3.67637
97,263,PINAR DE CHAMARTIN,Calle de Arturo Soria 330,40.48014,-3.6668
100,27,CONGOSTO,Calle del Congosto 48,40.37238,-3.61884
104,293,LA GAVIA,Avda del Ensanche de Vallecas 16,40.37019,-3.61346
107,294,LAS SUERTES,Calle de Cañada del Santísimo 45,40.36323,-3.59953
110,295,VALDECARROS,Avda del Ensanche de Vallecas 120 A,40.36007,-3.59316
113,3,TETUAN,Calle de Bravo Murillo 264,40.46055,-3.69825
116,4,ESTRECHO,Calle de Bravo Murillo 191,40.45429,-3.70302
121,5,ALVARADO,Calle de Bravo Murillo 138,40.45033,-3.70331
124,6,CUATRO CAMINOS,Gta de Cuatro Caminos 2,40.44697,-3.70397
131,7,RIOS ROSAS,Calle de Ríos Rosas 22,40.44198,-3.70133
135,8,IGLESIA,Gta del Pintor Sorolla 2,40.43492,-3.69898
143,9,BILBAO,Calle de Sagasta 2,40.42906,-3.70218
152,54,Atocha-Renfe,Avda de la Ciudad de Barcelona 2 B,40.40659,-3.68944
153,58,Puerta del Sol,Plaza de la Puerta del Sol 6,40.41688,-3.70331
183,260,LA ELIPA,Avda del Marqués de Corbera 58,40.42662,-3.65052
186,28,VENTAS,Calle de Alcalá 204,40.43088,-3.66366
189,29,MANUEL BECERRA,Plaza de Manuel Becerra 1,40.4279,-3.66926
